id,g(x)
0,0.06249375
1,0.0624875
2,0.06248125
3,0.062475
4,0.06246875
5,0.0624625
6,0.06245625
7,0.06245
8,0.06244375
9,0.0624375
10,0.06243125
11,0.062425
12,0.0624125
13,0.06240625
14,0.0624
15,0.06239375
16,0.0623875
17,0.06238125
18,0.062375
19,0.06236875
20,0.0623625
21,0.06235625
22,0.249375
23,0.0554
24,0.22157777777777776
25,0.05538888888888888
26,0.05538333333333333
27,0.2215111111111111
28,0.05537222222222222
29,0.05536666666666667
30,0.22144444444444444
31,0.031134375
32,0.28018125
33,0.280153125
34,0.031125
35,0.280096875
36,0.03111875
37,0.031115625
38,0.0311125
39,0.279984375
40,0.10600828402366864
41,0.01015408163265306
42,0.36551020408163265
43,0.01015204081632653
44,0.36543673469387755
45,0.01015
46,0.010148979591836735
47,0.010147959183673469
48,0.36528979591836735
49,0.3652530612244898
50,0.10588047337278107
51,0.14410059171597633
52,0.095109765625
53,0.0951001953125
54,0.157190625
55,0.1571748046875
56,0.157158984375
57,0.0950619140625
58,0.15712734375
59,0.15711152343749998
60,0.095033203125
61,0.1570798828125
62,0.0049635
63,0.40200300000000005
64,0.20506224489795918
65,0.20504158163265307
66,0.0632780612244898
67,0.06327168367346939
68,0.1239875
69,0.123975
70,0.1239625
71,0.12395
72,0.1239375
73,0.123925
74,0.1239125
75,0.1239
76,0.1238875
77,0.123875
78,0.1238625
79,0.12385
80,0.20469030612244898
81,0.20466964285714287
82,0.20464897959183673
83,0.123775
84,0.23724852071005917
85,0.23722455621301775
86,0.23720059171597635
87,0.23717662721893493
88,0.04684497041420119
89,0.23712869822485208
90,0.23710473372781063
91,0.046830769230769224
92,0.04682603550295858
93,0.2370328402366864
94,0.046816568047337276
95,0.23698491124260354
96,0.23693698224852072
97,0.046797633136094675
98,0.23688905325443788
99,0.23686508875739645
100,0.094573828125
101,0.1563205078125
102,0.1563046875
103,0.1562888671875
104,0.06299107142857144
105,0.20407040816326533
106,0.2040497448979592
107,0.0629719387755102
108,0.06296556122448979
109,0.2039877551020408
110,0.04672189349112426
111,0.04671715976331361
112,0.046712426035502956
113,0.2364576923076923
114,0.04670295857988166
115,0.23640976331360947
116,0.046693491124260356
117,0.046688757396449704
118,0.2363378698224852
119,0.23631390532544377
120,0.23628994082840238
121,0.23626597633136096
122,0.04666508875739645
123,0.0466603550295858
124,0.23619408284023669
125,0.2361701183431953
126,0.04664142011834319
127,0.236098224852071
128,0.04663195266272189
129,0.046627218934911244
130,0.23602633136094675
131,0.23600236686390533
132,0.04661301775147929
133,0.2359544378698225
134,0.04660355029585799
135,0.23590650887573966
136,0.04659408284023668
137,0.046589349112426036
138,0.046584615384615384
139,0.23581065088757397
140,0.04657514792899408
141,0.04657041420118343
142,0.046565680473372784
143,0.2357147928994083
144,0.23569082840236688
145,0.23566686390532546
146,0.27652499999999997
147,0.030721875
148,0.27646875
149,0.276440625
150,0.0307125
151,0.276384375
152,0.27635625
153,0.030703125
154,0.0307
155,0.276271875
156,0.176778
157,0.17676
158,0.078552
159,0.078544
160,0.07853600000000001
161,0.078528
162,0.07852
163,0.07851200000000001
164,0.078504
165,0.078496
166,0.17659799999999998
167,0.17658
168,0.176562
169,0.13743373702422146
170,0.13741972318339102
171,0.10856747404844291
172,0.1373916955017301
173,0.13737768166089967
174,0.1373636678200692
175,0.10852318339100346
176,0.13733564013840832
177,0.10850103806228374
178,0.10848996539792388
179,0.13729359861591697
180,0.1372795847750865
181,0.1084567474048443
182,0.10844567474048444
183,0.13723754325259516
184,0.1223875
185,0.122375
186,0.1223625
187,0.12235
188,0.1223375
189,0.122325
190,0.1223125
191,0.1223
192,0.1222875
193,0.122275
194,0.1222625
195,0.12225
196,0.1222375
197,0.122225
198,0.1222125
199,0.1222
200,0.1221875
201,0.122175
202,0.1221625
203,0.12215
204,0.1221375
205,0.122125
206,0.1221125
207,0.32691198347107436
208,0.01614214876033058
209,0.32684504132231407
210,0.3268115702479339
211,0.06225765306122449
212,0.06225127551020408
213,0.06224489795918367
214,0.062238520408163266
215,0.06223214285714286
216,0.06222576530612245
217,0.062219387755102044
218,0.2015701530612245
219,0.20154948979591839
220,0.062200255102040816
221,0.0621875
222,0.3385069444444444
223,0.013538888888888889
224,0.0135375
225,0.3384027777777778
226,0.013534722222222222
227,0.3383333333333333
228,0.08456597222222222
229,0.16573229166666667
230,0.0845486111111111
231,0.20121887755102041
232,0.175248
233,0.06207908163265306
234,0.06207270408163266
235,0.06206632653061225
236,0.20107423469387756
237,0.1216125
238,0.1216
239,0.1215875
240,0.121575
241,0.1215625
242,0.12155
243,0.1215375
244,0.121525
245,0.1215125
246,0.1215
247,0.1214875
248,0.121475
249,0.1214625
250,0.12145
251,0.061951530612244905
252,0.061945153061224494
253,0.06193877551020408
254,0.06193239795918367
255,0.20064030612244899
256,0.20061964285714287
257,0.06191326530612245
258,0.20057831632653061
259,0.2005576530612245
260,0.20053698979591839
261,0.04593136094674556
262,0.23250355029585798
263,0.04592189349112426
264,0.23245562130177513
265,0.045912426035502954
266,0.04590769230769231
267,0.04590295857988166
268,0.23235976331360947
269,0.23233579881656805
270,0.39256650000000004
271,0.20024770408163264
272,0.20022704081632653
273,0.061792091836734696
274,0.2001857142857143
275,0.27241875
276,0.030265625
277,0.030259375
278,0.03025625
279,0.272278125
280,0.272221875
281,0.27219375
282,0.27213750000000003
283,0.030234375
284,0.27208125
285,0.19985510204081633
286,0.06167729591836735
287,0.19981377551020407
288,0.19979311224489796
289,0.030209375
290,0.27185625
291,0.27182812500000003
292,0.0302
293,0.271771875
294,0.32336404958677684
295,0.015966942148760332
296,0.015965289256198348
297,0.015963636363636364
298,0.3232301652892562
299,0.323196694214876
300,0.3231632231404959
301,0.3231297520661157
302,0.32309628099173554
303,0.015953719008264464
